Field=#~Integer~#~50|Field=Line #~String~Line #~125|Field=Name~String~Name~125|Field=Description~String~Description~125|Field=Designator~String~Designator~125|Field=Quantity~Integer~Quantity~125|Field=Manufacturer 1~String~Manufacturer 1~125|Field=Manufacturer PartNo 1~String~Manufacturer PartNo 1~125|Field=Manufacturer Lifecycle 1~String~Manufacturer Lifecycle 1~125|Field=Supplier 1~String~Supplier 1~125|Field=Supplier PartNo 1~String~Supplier PartNo 1~125|Field=Actual Price 1~Float~Actual Price 1~125|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~125|ReportField=Currency~<none>|ReportField=ProductionQuantity~100|ReportField=ProjectFileName~Mp100.PrjPCB|ReportField=ProjectFullPath~C:\Users\noles\Documents\mp100\Mp100.PrjPCB|ReportField=Title~Bill of Materials For BOM Document [Mp100.BomDoc]|ReportField=ReportTime~3:06:53 PM|ReportField=ReportDate~12/4/2018|ReportField=ReportDateTime~12/4/2018 3:06:53 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~52|ReportField=TotalActualPrice~2089.18|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~Kaf-tet BeNovember 12a|ReportField=Address2~Zechron yakkov|ReportField=Address3~3090000|ReportField=Address4~Israel|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~AquaSAFE|ReportField=CurrentDate~12/4/2018|ReportField=CurrentTime~3:02:37 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\noles\Documents\mp100\Mp100.SchDoc|ReportField=DocumentName~Mp100.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~11/30/2018|ReportField=Organization~AquaSAFE|ReportField=ProjectName~Mp100.PrjPCB|ReportField=Revision~0.3|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~MP100|ReportField=DataSourceFileName~Mp100.BomDoc|ReportField=DataSourceFullPath~C:\Users\noles\Documents\mp100\Mp100.BomDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
11||LTST-C190CKT|LED, Red, SMD|LED1|1|{URL}{URL.TEXT}Vishay%20Lite-On{URL.TIP}Component|LTST-C190CKT|Volume Production|Digi-Key|160-1181-1-ND|0.1102|11.02
12||CRCW0402200RFKED|RES, 200, 1%, 0.063 W, 0402|R1, R4|2|{URL}{URL.TEXT}Vishay%20Dale{URL.TIP}Component|CRCW0402200RFKEDHP|Manual Solution|Digi-Key|541-200YDKR-ND|0.0532|10.64
13||CRCW0402470RJNED|RES, 470, 5%, 0.063 W, 0402|R2, R12, R13|3|{URL}{URL.TEXT}Vishay%20Dale{URL.TIP}Component|CRCW0402470RJNED|Volume Production|Digi-Key|541-470JCT-ND|0.1|30
14||CRCW040222R0JNED|RES, 22, 5%, 0.063 W, 0402|R3, R5|2|{URL}{URL.TEXT}Vishay%20Dale{URL.TIP}Component|CRCW040222R0JNED|Volume Production|Digi-Key|541-22JCT-ND|0.1|20
15||CRCW04021M74FKED|RES, 0, 5%, 0.063 W, 0402|R6|1|{URL}{URL.TEXT}Vishay{URL.TIP}Component|CRCW04021M74FKED|Manual Solution|Digi-Key|541-1.74MLDKR-ND|0.0178|1.78
16||CRCW04021M00JNED|RES 1M OHM 1% 1/16W 0402|R8|1|{URL}{URL.TEXT}Vishay%20Dale{URL.TIP}Component|CRCW04021M00JNEDHP|Manual Solution|Digi-Key|541-1.0MYADKR-ND|0.14|14
17||CRCW0402100KJNED|RES, 100 k, 5%, 0.063 W, 0402|R9, R11, R14|3|{URL}{URL.TEXT}Vishay{URL.TIP}Component|CRCW0402100KFKEDC|Manual Solution|Digi-Key|541-100KLCT-ND|0.0104|3.12
18||CRCW040247K0JNED|RES, 47 k, 5%, 0.063 W, 0402|R10|1|{URL}{URL.TEXT}Vishay%20Dale{URL.TIP}Component|CRCW040247K0JNED|Volume Production|Digi-Key|541-47KJCT-ND|0.0138|1.38
19||MSP430FR6047IPZR|Mixed-Signal Microcontroller, PZ0100A (LQFP-100)|U1|1|{URL}{URL.TEXT}Texas%20Instruments{URL.TIP}Component|MSP430FR6047IPZR||Digi-Key|296-47912-1-ND|14.76|1476.26
20||TPS78001DDCR|Single Output LDO, 150 mA, Adjustable 1.22 to 5.25 V Output, 2.2 to 5.5 V Input, with 500 nA Quiescent Current, 5-pin SOT (DDC), -40 to 125 degC, Green (RoHS & no Sb/Br)|U2|1|{URL}{URL.TEXT}Texas%20Instruments{URL.TIP}Component|TPS78001DDCR|Volume Production|Digi-Key|296-23331-1-ND|1.03|103
21||NCP6354BMTAATBG|ON Semiconductor, NCP6354BMTAATBG Step-Down Switching Regulator 3.3A Adjustable, 0.6  5.5 V, 8-Pin WDFN|U3|1|{URL}{URL.TEXT}ON%20Semiconductor{URL.TIP}Component|NCP6354BMTAATBG|Manual Solution|Digi-Key|NCP6354BMTAATBGOSDKR-ND|0.7581|75.81
22||ABS07-32.768KHZ-9-T|CRYSTAL, 32.768KHZ, 9PF, SMD|Y1|1|{URL}{URL.TEXT}Abracon{URL.TIP}Component|ABS07-32.768KHZ-9-T|Volume Production|Digi-Key|535-9544-1-ND|0.473|47.3
23||AWSCR-8.00CV-T|Ceramic Resonator, 8MHz, 22pF, SMD|Y2|1|{URL}{URL.TEXT}Abracon{URL.TIP}Component|AWSCR-8.00CV-T|Volume Production|Digi-Key|535-10004-1-ND|0.242|24.2
24||ABM3-8.000MHZ-D2Y-T|Crystal, 8MHz, SMD|Y3|1|{URL}{URL.TEXT}Abracon{URL.TIP}Component|ABM3-8.000MHZ-D2Y-T|Volume Production|Digi-Key|535-10630-1-ND|0.418|41.8
